Nicotine Experiment Craving Levels 
Nicotine_wLikertFaces_cravePlot_40min_10Puff
12	FP
Craving Level:	49	10:07:58 at 593.7451 s
Craving Level:	49	10:07:58 at 593.9667 s
Craving Level:	49	10:07:58 at 594.1354 s
Craving Level:	49	10:07:59 at 594.3575 s
Craving Level:	49	10:07:59 at 594.5258 s
Craving Level:	49	10:07:59 at 594.7476 s
Craving Level:	49	10:07:59 at 594.97 s
Craving Level:	49	10:07:59 at 595.1385 s
Craving Level:	49	10:08:00 at 595.361 s
Craving Level:	49	10:08:00 at 595.5285 s
Craving Level:	49	10:08:00 at 595.7514 s
Craving Level:	49	10:08:00 at 595.9734 s
Craving Level:	49	10:08:00 at 596.142 s
Craving Level:	49	10:08:01 at 596.3649 s
Craving Level:	49	10:08:01 at 596.5327 s
Craving Level:	49	10:08:01 at 596.7553 s
Craving Level:	49	10:08:01 at 596.9258 s
Craving Level:	49	10:08:01 at 597.1453 s
Craving Level:	49	10:08:02 at 597.3688 s
Craving Level:	49	10:08:02 at 597.5377 s
Craving Level:	49	10:08:02 at 597.7604 s
Craving Level:	49	10:08:02 at 597.9273 s
Craving Level:	49	10:08:02 at 598.1526 s
Craving Level:	49	10:08:03 at 598.3259 s
Craving Level:	49	10:08:03 at 598.5436 s
Craving Level:	49	10:08:03 at 598.7651 s
Craving Level:	49	10:08:03 at 598.9332 s
Craving Level:	49	10:08:03 at 599.1568 s
Craving Level:	49	10:08:04 at 599.3262 s
Craving Level:	49	10:08:04 at 599.5474 s
Craving Level:	49	10:08:04 at 599.7697 s
Craving Level:	49	10:08:04 at 599.9364 s
Craving Level:	49	10:08:04 at 600.1616 s
Craving Level:	49	10:08:05 at 600.3288 s
Craving Level:	49	10:08:05 at 600.5518 s
Craving Level:	49	10:08:05 at 600.7743 s
Craving Level:	49	10:08:05 at 600.9414 s
Craving Level:	49	10:08:05 at 601.1673 s
Craving Level:	49	10:08:06 at 601.3343 s
Craving Level:	49	10:08:06 at 601.5564 s
Craving Level:	49	10:08:06 at 601.7271 s
Craving Level:	49	10:08:06 at 601.9458 s
Craving Level:	49	10:08:06 at 602.1702 s
Craving Level:	49	10:08:07 at 602.3382 s
Craving Level:	49	10:08:07 at 602.562 s
Craving Level:	49	10:08:07 at 602.731 s
Craving Level:	49	10:08:07 at 602.9537 s
Craving Level:	49	10:08:07 at 603.1267 s
Craving Level:	49	10:08:08 at 603.3456 s
Craving Level:	49	10:08:08 at 603.5685 s
Craving Level:	49	10:08:08 at 603.7357 s
Craving Level:	49	10:08:08 at 603.9583 s
Craving Level:	49	10:08:08 at 604.1274 s
Craving Level:	49	10:08:09 at 604.3494 s
Craving Level:	49	10:08:09 at 604.5746 s
Craving Level:	49	10:08:09 at 604.7433 s
Craving Level:	49	10:08:09 at 604.9656 s
Craving Level:	49	10:08:09 at 605.135 s
Craving Level:	49	10:08:10 at 605.3566 s
Craving Level:	49	10:08:10 at 605.5263 s
Craving Level:	49	10:08:10 at 605.7474 s
Craving Level:	49	10:08:10 at 605.9703 s
Craving Level:	49	10:08:10 at 606.1412 s
Craving Level:	49	10:08:11 at 606.3641 s
Craving Level:	49	10:08:11 at 606.5313 s
Craving Level:	49	10:08:11 at 606.7538 s
Craving Level:	49	10:08:11 at 606.9257 s
Craving Level:	49	10:08:11 at 607.1453 s
Craving Level:	49	10:08:12 at 607.368 s
Craving Level:	49	10:08:12 at 607.5345 s
Craving Level:	49	10:08:12 at 607.7565 s
Craving Level:	49	10:08:12 at 607.9275 s
Craving Level:	49	10:08:12 at 608.1472 s
Craving Level:	49	10:08:13 at 608.3698 s
Craving Level:	49	10:08:13 at 608.5381 s
Craving Level:	49	10:08:13 at 608.7629 s
Craving Level:	49	10:08:13 at 608.9299 s
Craving Level:	49	10:08:13 at 609.1542 s
Craving Level:	49	10:08:14 at 609.3764 s
Craving Level:	49	10:08:14 at 609.5436 s
Craving Level:	49	10:08:14 at 609.7664 s
Craving Level:	49	10:08:14 at 609.9337 s
Craving Level:	49	10:08:14 at 610.1577 s
Craving Level:	49	10:08:15 at 610.3261 s
Craving Level:	49	10:08:15 at 610.5481 s
Craving Level:	49	10:08:15 at 610.7706 s
Craving Level:	49	10:08:15 at 610.9398 s
Craving Level:	49	10:08:15 at 611.1656 s
Craving Level:	49	10:08:16 at 611.3338 s
Craving Level:	49	10:08:16 at 611.5557 s
Craving Level:	49	10:08:16 at 611.7267 s
Craving Level:	49	10:08:16 at 611.9461 s
Craving Level:	49	10:08:16 at 612.1705 s
Craving Level:	49	10:08:17 at 612.3381 s
Craving Level:	49	10:08:17 at 612.5609 s
Craving Level:	49	10:08:17 at 612.7286 s
Craving Level:	49	10:08:17 at 612.9523 s
Craving Level:	49	10:08:17 at 613.1257 s
Craving Level:	49	10:08:18 at 613.3438 s
Craving Level:	49	10:08:18 at 613.5666 s
Craving Level:	49	10:08:18 at 613.7334 s
Craving Level:	49	10:08:18 at 613.9558 s
Craving Level:	49	10:08:18 at 614.1266 s
Craving Level:	49	10:08:19 at 614.3499 s
Craving Level:	49	10:08:19 at 614.5729 s
Craving Level:	49	10:08:19 at 614.7407 s
Craving Level:	49	10:08:19 at 614.9638 s
Craving Level:	49	10:08:19 at 615.1331 s
Craving Level:	49	10:08:20 at 615.3558 s
Craving Level:	49	10:08:20 at 615.5274 s
Craving Level:	49	10:08:20 at 615.7457 s
Craving Level:	49	10:08:20 at 615.9686 s
Craving Level:	49	10:08:20 at 616.1379 s
Craving Level:	49	10:08:21 at 616.3619 s
Craving Level:	49	10:08:21 at 616.5302 s
Craving Level:	49	10:08:21 at 616.7532 s
Craving Level:	49	10:08:21 at 616.9752 s
Craving Level:	49	10:08:21 at 617.144 s
Craving Level:	49	10:08:22 at 617.3667 s
Craving Level:	49	10:08:22 at 617.5335 s
Craving Level:	49	10:08:22 at 617.7558 s
Craving Level:	49	10:08:22 at 617.9272 s
Craving Level:	49	10:08:22 at 618.1485 s
Craving Level:	49	10:08:23 at 618.3708 s
Craving Level:	49	10:08:23 at 618.5456 s
Craving Level:	49	10:08:23 at 618.7691 s
Craving Level:	49	10:08:23 at 618.9372 s
Craving Level:	49	10:08:23 at 619.1624 s
Craving Level:	49	10:08:24 at 619.3293 s
Craving Level:	49	10:08:24 at 619.5517 s
Craving Level:	49	10:08:24 at 619.7758 s
Craving Level:	49	10:08:24 at 619.9431 s
Craving Level:	49	10:08:24 at 620.1672 s
Craving Level:	49	10:08:25 at 620.3348 s
Craving Level:	49	10:08:25 at 620.5565 s
Craving Level:	49	10:08:25 at 620.727 s
Craving Level:	49	10:08:25 at 620.9471 s
Craving Level:	49	10:08:25 at 621.1711 s
Craving Level:	49	10:08:26 at 621.338 s
Craving Level:	49	10:08:26 at 621.5599 s
Craving Level:	49	10:08:26 at 621.7275 s
Craving Level:	49	10:08:26 at 621.9497 s
Craving Level:	49	10:08:26 at 622.1751 s
Craving Level:	49	10:08:27 at 622.3418 s
Craving Level:	49	10:08:27 at 622.5646 s
Craving Level:	49	10:08:27 at 622.7319 s
Craving Level:	49	10:08:27 at 622.9543 s
Craving Level:	49	10:08:27 at 623.1255 s
Craving Level:	49	10:08:28 at 623.3471 s
Craving Level:	49	10:08:28 at 623.5691 s
Craving Level:	49	10:08:28 at 623.7364 s
Craving Level:	49	10:08:28 at 623.9583 s
Craving Level:	49	10:08:28 at 624.1273 s
Craving Level:	49	10:08:29 at 624.3506 s
Craving Level:	49	10:08:29 at 624.5746 s
Craving Level:	49	10:08:29 at 624.7417 s
Craving Level:	49	10:08:29 at 624.965 s
Craving Level:	49	10:08:29 at 625.1341 s
Craving Level:	49	10:08:30 at 625.3576 s
Craving Level:	49	10:08:30 at 625.5265 s
Craving Level:	49	10:08:30 at 625.7473 s
Craving Level:	49	10:08:30 at 625.9697 s
Craving Level:	49	10:08:30 at 626.1385 s
Craving Level:	49	10:08:31 at 626.3603 s
Craving Level:	49	10:08:31 at 626.5266 s
Craving Level:	49	10:08:31 at 626.7493 s
Craving Level:	49	10:08:31 at 626.972 s
Craving Level:	50	10:08:31 at 627.1415 s
Craving Level:	50	10:08:32 at 627.365 s
Craving Level:	50	10:08:32 at 627.5327 s
Craving Level:	50	10:08:32 at 627.7575 s
Craving Level:	50	10:08:32 at 627.926 s
Craving Level:	50	10:08:32 at 628.1495 s
Craving Level:	50	10:08:33 at 628.3711 s
Craving Level:	50	10:08:33 at 628.5375 s
Craving Level:	50	10:08:33 at 628.7603 s
Craving Level:	50	10:08:33 at 628.9274 s
Craving Level:	50	10:08:33 at 629.1512 s
Craving Level:	50	10:08:34 at 629.3744 s
Craving Level:	50	10:08:34 at 629.5422 s
Craving Level:	50	10:08:34 at 629.7643 s
Craving Level:	50	10:08:34 at 629.9315 s
Craving Level:	50	10:08:34 at 630.1557 s
Craving Level:	50	10:08:35 at 630.3266 s
Craving Level:	50	10:08:35 at 630.5452 s
Craving Level:	50	10:08:35 at 630.7679 s
Craving Level:	50	10:08:35 at 630.9354 s
Craving Level:	50	10:08:35 at 631.159 s
Craving Level:	50	10:08:36 at 631.3272 s
Craving Level:	50	10:08:36 at 631.5499 s
Craving Level:	50	10:08:36 at 631.7723 s
Craving Level:	50	10:08:36 at 631.9393 s
Craving Level:	50	10:08:36 at 632.1655 s
Craving Level:	50	10:08:37 at 632.3329 s
Craving Level:	50	10:08:37 at 632.5553 s
Craving Level:	50	10:08:37 at 632.726 s
Craving Level:	50	10:08:37 at 632.9441 s
Craving Level:	50	10:08:37 at 633.1696 s
Craving Level:	50	10:08:38 at 633.3365 s
Craving Level:	50	10:08:38 at 633.5587 s
Craving Level:	50	10:08:38 at 633.7264 s
Craving Level:	50	10:08:38 at 633.9472 s
Craving Level:	50	10:08:38 at 634.1711 s
Craving Level:	50	10:08:39 at 634.3395 s
Craving Level:	50	10:08:39 at 634.5624 s
Craving Level:	50	10:08:39 at 634.7292 s
Craving Level:	50	10:08:39 at 634.9516 s
Craving Level:	50	10:08:39 at 635.126 s
Craving Level:	50	10:08:40 at 635.3441 s
Craving Level:	50	10:08:40 at 635.5678 s
Craving Level:	50	10:08:40 at 635.7354 s
Craving Level:	50	10:08:40 at 635.9587 s
Craving Level:	50	10:08:40 at 636.1286 s
Craving Level:	50	10:08:41 at 636.3506 s
Craving Level:	50	10:08:41 at 636.5736 s
Craving Level:	50	10:08:41 at 636.7406 s
Craving Level:	50	10:08:41 at 636.9638 s
Craving Level:	50	10:08:41 at 637.1337 s
Craving Level:	50	10:08:42 at 637.3557 s
Craving Level:	50	10:08:42 at 637.5275 s
Craving Level:	50	10:08:42 at 637.7469 s
Craving Level:	50	10:08:42 at 637.9696 s
Craving Level:	50	10:08:42 at 638.139 s
Craving Level:	50	10:08:43 at 638.3619 s
Craving Level:	50	10:08:43 at 638.5297 s
Craving Level:	50	10:08:43 at 638.7531 s
Craving Level:	50	10:08:43 at 638.9745 s
Craving Level:	50	10:08:43 at 639.1444 s
Craving Level:	50	10:08:44 at 639.3676 s
Craving Level:	50	10:08:44 at 639.5351 s
Craving Level:	50	10:08:44 at 639.7572 s
Craving Level:	50	10:08:44 at 639.9264 s
Craving Level:	50	10:08:44 at 640.1494 s
Craving Level:	50	10:08:45 at 640.372 s
Craving Level:	50	10:08:45 at 640.5395 s
Craving Level:	50	10:08:45 at 640.7625 s
Craving Level:	50	10:08:45 at 640.9295 s
Craving Level:	50	10:08:45 at 641.1532 s
Craving Level:	50	10:08:46 at 641.3759 s
Craving Level:	50	10:08:46 at 641.5434 s
Craving Level:	50	10:08:46 at 641.7658 s
Craving Level:	50	10:08:46 at 641.9333 s
Craving Level:	50	10:08:46 at 642.1575 s
Craving Level:	50	10:08:47 at 642.3262 s
Craving Level:	50	10:08:47 at 642.5482 s
Craving Level:	50	10:08:47 at 642.7713 s
Craving Level:	50	10:08:47 at 642.938 s
Craving Level:	50	10:08:47 at 643.1635 s
Craving Level:	50	10:08:48 at 643.3308 s
Craving Level:	50	10:08:48 at 643.5527 s
Craving Level:	50	10:08:48 at 643.775 s
Craving Level:	50	10:08:48 at 643.9421 s
Craving Level:	50	10:08:48 at 644.1681 s
Craving Level:	50	10:08:49 at 644.3359 s
Craving Level:	50	10:08:49 at 644.5576 s
Craving Level:	50	10:08:49 at 644.7284 s
Craving Level:	50	10:08:49 at 644.947 s
Craving Level:	50	10:08:49 at 645.1726 s
Craving Level:	50	10:08:50 at 645.3397 s
Craving Level:	50	10:08:50 at 645.5625 s
Craving Level:	50	10:08:50 at 645.7307 s
Craving Level:	50	10:08:50 at 645.9535 s
Craving Level:	50	10:08:50 at 646.1283 s
Craving Level:	50	10:08:51 at 646.3475 s
Craving Level:	50	10:08:51 at 646.5704 s
Craving Level:	50	10:08:51 at 646.7373 s
Craving Level:	50	10:08:51 at 646.9595 s
Craving Level:	50	10:08:51 at 647.1288 s
Craving Level:	50	10:08:52 at 647.3504 s
Craving Level:	50	10:08:52 at 647.5748 s
Craving Level:	50	10:08:52 at 647.7433 s
Craving Level:	50	10:08:52 at 647.966 s
Craving Level:	50	10:08:52 at 648.1354 s
Craving Level:	50	10:08:53 at 648.3575 s
Craving Level:	50	10:08:53 at 648.5285 s
Craving Level:	50	10:08:53 at 648.7469 s
Craving Level:	50	10:08:53 at 648.969 s
Craving Level:	50	10:08:53 at 649.1376 s
Craving Level:	50	10:08:54 at 649.3599 s
Craving Level:	50	10:08:54 at 649.5276 s
Craving Level:	50	10:08:54 at 649.75 s
Craving Level:	50	10:08:54 at 649.9735 s
Craving Level:	50	10:08:54 at 650.1421 s
Craving Level:	50	10:08:55 at 650.3646 s
Craving Level:	50	10:08:55 at 650.5319 s
Craving Level:	50	10:08:55 at 650.7541 s
Craving Level:	50	10:08:55 at 650.9263 s
Craving Level:	50	10:08:55 at 651.146 s
Craving Level:	50	10:08:56 at 651.3689 s
Craving Level:	50	10:08:56 at 651.5357 s
Craving Level:	50	10:08:56 at 651.7601 s
Craving Level:	50	10:08:56 at 651.9282 s
Craving Level:	50	10:08:56 at 652.1533 s
Craving Level:	50	10:08:57 at 652.3761 s
Craving Level:	50	10:08:57 at 652.5429 s
Craving Level:	50	10:08:57 at 652.7652 s
Craving Level:	50	10:08:57 at 652.9321 s
Craving Level:	50	10:08:57 at 653.1556 s
Craving Level:	50	10:08:58 at 653.3272 s
Craving Level:	50	10:08:58 at 653.5461 s
Craving Level:	50	10:08:58 at 653.768 s
Craving Level:	50	10:08:58 at 653.9359 s
Craving Level:	50	10:08:58 at 654.1607 s
Craving Level:	50	10:08:59 at 654.3282 s
Craving Level:	50	10:08:59 at 654.552 s
Craving Level:	50	10:08:59 at 654.7736 s
Craving Level:	50	10:08:59 at 654.9417 s
Craving Level:	50	10:08:59 at 655.1673 s
Craving Level:	50	10:09:00 at 655.3348 s
Craving Level:	50	10:09:00 at 655.5583 s
Craving Level:	50	10:09:00 at 655.7266 s
Craving Level:	50	10:09:00 at 655.9473 s
Craving Level:	50	10:09:00 at 656.172 s
Craving Level:	50	10:09:01 at 656.3388 s
Craving Level:	50	10:09:01 at 656.561 s
Craving Level:	50	10:09:01 at 656.7284 s
Craving Level:	50	10:09:01 at 656.9505 s
Craving Level:	50	10:09:01 at 657.126 s
Craving Level:	50	10:09:02 at 657.3435 s
Craving Level:	50	10:09:02 at 657.5659 s
Craving Level:	50	10:09:02 at 657.7337 s
Craving Level:	50	10:09:02 at 657.9568 s
Craving Level:	50	10:09:02 at 658.1283 s
Craving Level:	50	10:09:03 at 658.3505 s
Craving Level:	50	10:09:03 at 658.573 s
Craving Level:	50	10:09:03 at 658.7402 s
Craving Level:	50	10:09:03 at 658.962 s
Craving Level:	50	10:09:03 at 659.1306 s
Craving Level:	50	10:09:04 at 659.3535 s
Craving Level:	50	10:09:04 at 659.5254 s
Craving Level:	50	10:09:04 at 659.7422 s
Craving Level:	50	10:09:04 at 659.965 s
Craving Level:	50	10:09:04 at 660.1355 s
Craving Level:	50	10:09:05 at 660.3583 s
Craving Level:	50	10:09:05 at 660.5267 s
Craving Level:	50	10:09:05 at 660.7478 s
Craving Level:	50	10:09:05 at 660.9715 s
Craving Level:	50	10:09:05 at 661.1418 s
Craving Level:	50	10:09:06 at 661.3642 s
Craving Level:	50	10:09:06 at 661.5323 s
Craving Level:	50	10:09:06 at 661.7559 s
Craving Level:	50	10:09:06 at 661.9269 s
Craving Level:	50	10:09:06 at 662.1478 s
Craving Level:	50	10:09:07 at 662.3703 s
Craving Level:	50	10:09:07 at 662.5369 s
Craving Level:	50	10:09:07 at 662.7597 s
Craving Level:	50	10:09:07 at 662.9273 s
Craving Level:	50	10:09:07 at 663.1514 s
Craving Level:	50	10:09:08 at 663.3737 s
Craving Level:	50	10:09:08 at 663.5412 s
Craving Level:	50	10:09:08 at 663.7646 s
Craving Level:	50	10:09:08 at 663.9322 s
Craving Level:	50	10:09:08 at 664.1574 s
Craving Level:	50	10:09:09 at 664.3266 s
Craving Level:	50	10:09:09 at 664.5473 s
Craving Level:	50	10:09:09 at 664.77 s
Craving Level:	50	10:09:09 at 664.9374 s
Craving Level:	50	10:09:09 at 665.1613 s
Craving Level:	50	10:09:10 at 665.3302 s
Craving Level:	50	10:09:10 at 665.5521 s
Craving Level:	50	10:09:10 at 665.7749 s
Craving Level:	50	10:09:10 at 665.9427 s
Craving Level:	50	10:09:10 at 666.1674 s
Craving Level:	50	10:09:11 at 666.3349 s
Craving Level:	50	10:09:11 at 666.5577 s
Craving Level:	50	10:09:11 at 666.726 s
Craving Level:	50	10:09:11 at 666.9474 s
Craving Level:	50	10:09:11 at 667.1711 s
Craving Level:	50	10:09:12 at 667.3383 s
Craving Level:	50	10:09:12 at 667.5607 s
Craving Level:	50	10:09:12 at 667.7282 s
Craving Level:	50	10:09:12 at 667.9514 s
Craving Level:	50	10:09:12 at 668.1265 s
Craving Level:	50	10:09:13 at 668.3455 s
Craving Level:	50	10:09:13 at 668.5685 s
Craving Level:	50	10:09:13 at 668.7354 s
Craving Level:	50	10:09:13 at 668.9578 s
Craving Level:	50	10:09:13 at 669.1262 s
Craving Level:	50	10:09:14 at 669.3482 s
Craving Level:	50	10:09:14 at 669.571 s
Craving Level:	50	10:09:14 at 669.7381 s
Craving Level:	50	10:09:14 at 669.96 s
Craving Level:	50	10:09:14 at 670.1304 s
Craving Level:	50	10:09:15 at 670.353 s
Craving Level:	50	10:09:15 at 670.526 s
Craving Level:	50	10:09:15 at 670.7431 s
Craving Level:	50	10:09:15 at 670.9652 s
Craving Level:	50	10:09:15 at 671.134 s
Craving Level:	50	10:09:16 at 671.3565 s
Craving Level:	50	10:09:16 at 671.528 s
Craving Level:	50	10:09:16 at 671.7473 s
Craving Level:	50	10:09:16 at 671.9691 s
Craving Level:	50	10:09:16 at 672.1388 s
Craving Level:	50	10:09:17 at 672.3615 s
Craving Level:	50	10:09:17 at 672.5301 s
Craving Level:	50	10:09:17 at 672.7529 s
Craving Level:	50	10:09:17 at 672.9757 s
Craving Level:	50	10:09:17 at 673.1443 s
Craving Level:	50	10:09:18 at 673.3669 s
Craving Level:	50	10:09:18 at 673.5344 s
Craving Level:	50	10:09:18 at 673.757 s
Craving Level:	50	10:09:18 at 673.9273 s
Craving Level:	50	10:09:18 at 674.1484 s
Craving Level:	50	10:09:19 at 674.3717 s
Craving Level:	50	10:09:19 at 674.5385 s
Craving Level:	50	10:09:19 at 674.7602 s
Craving Level:	50	10:09:19 at 674.9279 s
Craving Level:	50	10:09:19 at 675.1514 s
Craving Level:	50	10:09:20 at 675.3745 s
Craving Level:	50	10:09:20 at 675.5413 s
Craving Level:	50	10:09:20 at 675.765 s
Craving Level:	50	10:09:20 at 675.9316 s
Craving Level:	50	10:09:20 at 676.1558 s
Craving Level:	50	10:09:21 at 676.3276 s
Craving Level:	50	10:09:21 at 676.546 s
Craving Level:	50	10:09:21 at 676.7689 s
Craving Level:	50	10:09:21 at 676.9357 s
Craving Level:	50	10:09:21 at 677.1601 s
Craving Level:	50	10:09:22 at 677.3282 s
Craving Level:	50	10:09:22 at 677.5494 s
Craving Level:	50	10:09:22 at 677.7729 s
Craving Level:	50	10:09:22 at 677.9405 s
Craving Level:	50	10:09:22 at 678.1658 s
Craving Level:	50	10:09:23 at 678.3326 s
Craving Level:	50	10:09:23 at 678.555 s
Craving Level:	50	10:09:23 at 678.7766 s
Craving Level:	50	10:09:23 at 678.9447 s
Craving Level:	50	10:09:23 at 679.169 s
Craving Level:	50	10:09:24 at 679.3358 s
Craving Level:	50	10:09:24 at 679.5575 s
Craving Level:	50	10:09:24 at 679.7287 s
Craving Level:	50	10:09:24 at 679.947 s
Craving Level:	50	10:09:24 at 680.1713 s
Craving Level:	50	10:09:25 at 680.339 s
Craving Level:	50	10:09:25 at 680.5623 s
Craving Level:	50	10:09:25 at 680.7308 s
Craving Level:	50	10:09:25 at 680.9541 s
Craving Level:	50	10:09:25 at 681.1275 s
Craving Level:	50	10:09:26 at 681.3466 s
Craving Level:	50	10:09:26 at 681.5696 s
Craving Level:	50	10:09:26 at 681.7365 s
Craving Level:	50	10:09:26 at 681.9586 s
Craving Level:	50	10:09:26 at 682.127 s
Craving Level:	50	10:09:27 at 682.3489 s
Craving Level:	50	10:09:27 at 682.5713 s
Craving Level:	50	10:09:27 at 682.7396 s
Craving Level:	50	10:09:27 at 682.9621 s
Craving Level:	50	10:09:27 at 683.1306 s
Craving Level:	50	10:09:28 at 683.3537 s
Craving Level:	50	10:09:28 at 683.5257 s
Craving Level:	50	10:09:28 at 683.7445 s
Craving Level:	50	10:09:28 at 683.9668 s
Craving Level:	50	10:09:28 at 684.1373 s
Craving Level:	50	10:09:29 at 684.3603 s
Craving Level:	50	10:09:29 at 684.5286 s
Craving Level:	50	10:09:29 at 684.7526 s
Craving Level:	50	10:09:29 at 684.9254 s
Craving Level:	50	10:09:29 at 685.1456 s
Craving Level:	50	10:09:30 at 685.3678 s
Craving Level:	50	10:09:30 at 685.5352 s
Craving Level:	50	10:09:30 at 685.758 s
Craving Level:	50	10:09:30 at 685.9265 s
Craving Level:	50	10:09:30 at 686.1478 s
Craving Level:	50	10:09:31 at 686.3709 s
Craving Level:	50	10:09:31 at 686.5376 s
Craving Level:	50	10:09:31 at 686.7607 s
Craving Level:	50	10:09:31 at 686.9282 s
Craving Level:	50	10:09:31 at 687.1517 s
Craving Level:	50	10:09:32 at 687.3743 s
Craving Level:	50	10:09:32 at 687.5417 s
Craving Level:	50	10:09:32 at 687.7642 s
Craving Level:	50	10:09:32 at 687.9305 s
Craving Level:	50	10:09:32 at 688.1547 s
Craving Level:	50	10:09:33 at 688.3268 s
Craving Level:	50	10:09:33 at 688.5454 s
Craving Level:	50	10:09:33 at 688.7677 s
Craving Level:	50	10:09:33 at 688.9347 s
Craving Level:	50	10:09:33 at 689.1597 s
Craving Level:	50	10:09:34 at 689.3268 s
Craving Level:	50	10:09:34 at 689.5489 s
Craving Level:	50	10:09:34 at 689.7706 s
Craving Level:	50	10:09:34 at 689.9382 s
Craving Level:	50	10:09:34 at 690.1631 s
Craving Level:	50	10:09:35 at 690.3308 s
Craving Level:	50	10:09:35 at 690.5532 s
Craving Level:	50	10:09:35 at 690.7257 s
Craving Level:	50	10:09:35 at 690.943 s
Craving Level:	50	10:09:35 at 691.168 s
Craving Level:	50	10:09:36 at 691.336 s
Craving Level:	50	10:09:36 at 691.5582 s
Craving Level:	50	10:09:36 at 691.7267 s
Craving Level:	50	10:09:36 at 691.9497 s
Craving Level:	50	10:09:36 at 692.174 s
Craving Level:	50	10:09:37 at 692.3405 s
Craving Level:	50	10:09:37 at 692.5634 s
Craving Level:	50	10:09:37 at 692.7302 s
Craving Level:	50	10:09:37 at 692.9546 s
Craving Level:	50	10:09:37 at 693.1276 s
Craving Level:	50	10:09:38 at 693.3474 s
Craving Level:	50	10:09:38 at 693.5695 s
Craving Level:	50	10:09:38 at 693.7361 s
Craving Level:	50	10:09:38 at 693.959 s
Craving Level:	50	10:09:38 at 694.1288 s
Craving Level:	50	10:09:39 at 694.3508 s
Craving Level:	50	10:09:39 at 694.5757 s
Craving Level:	50	10:09:39 at 694.7437 s
Craving Level:	50	10:09:39 at 694.9662 s
Craving Level:	50	10:09:39 at 695.1355 s
Craving Level:	50	10:09:40 at 695.3574 s
Craving Level:	50	10:09:40 at 695.5259 s
Craving Level:	50	10:09:40 at 695.7467 s
Craving Level:	50	10:09:40 at 695.9689 s
Craving Level:	50	10:09:40 at 696.1387 s
Craving Level:	50	10:09:41 at 696.3612 s
Craving Level:	50	10:09:41 at 696.5288 s
Craving Level:	50	10:09:41 at 696.7525 s
Craving Level:	50	10:09:41 at 696.9745 s
Craving Level:	50	10:09:41 at 697.1439 s
Craving Level:	50	10:09:42 at 697.3657 s
Craving Level:	50	10:09:42 at 697.5331 s
Craving Level:	50	10:09:42 at 697.7554 s
Craving Level:	50	10:09:42 at 697.9264 s
Craving Level:	50	10:09:42 at 698.1465 s
Craving Level:	50	10:09:43 at 698.3691 s
Craving Level:	50	10:09:43 at 698.5372 s
Craving Level:	50	10:09:43 at 698.7607 s
Craving Level:	50	10:09:43 at 698.9283 s
Craving Level:	50	10:09:43 at 699.1519 s
Craving Level:	50	10:09:44 at 699.3742 s
Craving Level:	50	10:09:44 at 699.5419 s
Craving Level:	50	10:09:44 at 699.7651 s
Craving Level:	50	10:09:44 at 699.9338 s
Craving Level:	50	10:09:44 at 700.158 s
Craving Level:	50	10:09:45 at 700.3258 s
Craving Level:	50	10:09:45 at 700.5473 s
Craving Level:	50	10:09:45 at 700.7709 s
Craving Level:	50	10:09:45 at 700.9406 s
Craving Level:	50	10:09:45 at 701.1654 s
Craving Level:	50	10:09:46 at 701.3328 s
Craving Level:	50	10:09:46 at 701.5546 s
Craving Level:	50	10:09:46 at 701.7254 s
Craving Level:	50	10:09:46 at 701.9449 s
Craving Level:	50	10:09:46 at 702.1689 s
Craving Level:	50	10:09:47 at 702.3357 s
Craving Level:	50	10:09:47 at 702.5582 s
Craving Level:	50	10:09:47 at 702.7254 s
Craving Level:	50	10:09:47 at 702.948 s
Craving Level:	50	10:09:47 at 703.1725 s
Craving Level:	50	10:09:48 at 703.3397 s
Craving Level:	50	10:09:48 at 703.563 s
Craving Level:	50	10:09:48 at 703.7306 s
Craving Level:	50	10:09:48 at 703.9539 s
Craving Level:	50	10:09:48 at 704.127 s
Craving Level:	50	10:09:49 at 704.3473 s
Craving Level:	50	10:09:49 at 704.5708 s
Craving Level:	50	10:09:49 at 704.7383 s
Craving Level:	50	10:09:49 at 704.9609 s
Craving Level:	50	10:09:49 at 705.1313 s
Craving Level:	50	10:09:50 at 705.3549 s
Craving Level:	50	10:09:50 at 705.5264 s
Craving Level:	50	10:09:50 at 705.7441 s
Craving Level:	50	10:09:50 at 705.9662 s
Craving Level:	50	10:09:50 at 706.1347 s
Craving Level:	50	10:09:51 at 706.3571 s
Craving Level:	50	10:09:51 at 706.5259 s
Craving Level:	50	10:09:51 at 706.7479 s
Craving Level:	50	10:09:51 at 706.9713 s
Craving Level:	50	10:09:51 at 707.1401 s
Craving Level:	50	10:09:52 at 707.3624 s
Craving Level:	50	10:09:52 at 707.5296 s
Craving Level:	50	10:09:52 at 707.7517 s
Craving Level:	50	10:09:52 at 707.9743 s
Craving Level:	50	10:09:52 at 708.1436 s
Craving Level:	50	10:09:53 at 708.3657 s
Craving Level:	50	10:09:53 at 708.5336 s
Craving Level:	50	10:09:53 at 708.756 s
Craving Level:	50	10:09:53 at 708.9277 s
Craving Level:	50	10:09:53 at 709.148 s
Craving Level:	50	10:09:54 at 709.3703 s
Craving Level:	50	10:09:54 at 709.537 s
Craving Level:	50	10:09:54 at 709.7591 s
Craving Level:	50	10:09:54 at 709.9269 s
Craving Level:	50	10:09:54 at 710.1516 s
